threshold,precision,recall,f1,accuracy
0.53,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9274193548387096
0.54,0.8301886792452831,0.8301886792452831,0.8301886792452831,0.9274193548387096
0.55,0.8269230769230769,0.8113207547169812,0.819047619047619,0.9233870967741935
0.56,0.8269230769230769,0.8113207547169812,0.819047619047619,0.9233870967741935
0.5700000000000001,0.8269230769230769,0.8113207547169812,0.819047619047619,0.9233870967741935
0.5800000000000001,0.8269230769230769,0.8113207547169812,0.819047619047619,0.9233870967741935
0.59,0.8269230769230769,0.8113207547169812,0.819047619047619,0.9233870967741935
0.6,0.8269230769230769,0.8113207547169812,0.819047619047619,0.9233870967741935
0.61,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.62,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.63,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.64,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.65,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.66,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.67,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.68,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.6900000000000001,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.7000000000000001,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.7100000000000001,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.72,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.73,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.74,0.8431372549019608,0.8113207547169812,0.8269230769230769,0.9274193548387096
0.75,0.86,0.8113207547169812,0.8349514563106796,0.9314516129032258
0.76,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.77,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.78,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.79,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.8,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.81,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.8200000000000001,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.8300000000000001,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.8400000000000001,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.85,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.86,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.87,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.88,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.89,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.9,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.91,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.92,0.8571428571428571,0.7924528301886793,0.8235294117647058,0.9274193548387096
0.93,0.8541666666666666,0.7735849056603774,0.8118811881188119,0.9233870967741935
0.9400000000000001,0.8541666666666666,0.7735849056603774,0.8118811881188119,0.9233870967741935
0.9500000000000001,0.8541666666666666,0.7735849056603774,0.8118811881188119,0.9233870967741935
0.9600000000000001,0.8541666666666666,0.7735849056603774,0.8118811881188119,0.9233870967741935
0.97,0.8541666666666666,0.7735849056603774,0.8118811881188119,0.9233870967741935
0.98,0.8541666666666666,0.7735849056603774,0.8118811881188119,0.9233870967741935
0.99,0.8478260869565217,0.7358490566037735,0.7878787878787878,0.9153225806451613
