epoch,fail_output_auc,fail_output_binary_accuracy,fail_output_loss,fail_output_precision,fail_output_recall,learning_rate,loss,rul_output_loss,rul_output_mae,rul_output_rmse,val_fail_output_auc,val_fail_output_binary_accuracy,val_fail_output_loss,val_fail_output_precision,val_fail_output_recall,val_loss,val_rul_output_loss,val_rul_output_mae,val_rul_output_rmse
27,0.9990178346633911,0.9885603785514832,0.05274558812379837,0.9343635439872742,0.9899497628211975,0.00042500003473833203,0.1001579612493515,0.01471359096467495,0.07497745752334595,0.09787590801715851,0.9465508460998535,0.9225713610649109,0.8146029114723206,0.6725000143051147,0.8677419424057007,0.8754898309707642,0.06544457376003265,0.1511370986700058,0.21126163005828857
28,0.9993996024131775,0.9907970428466797,0.040425293147563934,0.9455246925354004,0.9931917786598206,0.000361250014975667,0.08894812315702438,0.01420222595334053,0.07357478141784668,0.09630920737981796,0.9424477815628052,0.9328351616859436,0.9842454791069031,0.7337209582328796,0.8141935467720032,1.015330195426941,0.06877630203962326,0.15534183382987976,0.214344322681427
29,0.9993929862976074,0.99037766456604,0.04112045094370842,0.9433148503303528,0.9927054643630981,0.000361250014975667,0.08919303119182587,0.014148486778140068,0.07348217815160751,0.0962359756231308,0.9495990872383118,0.9340956211090088,0.8332517743110657,0.7194206118583679,0.8651612997055054,0.8799082040786743,0.06295300275087357,0.14297707378864288,0.2029869258403778
30,0.9994269609451294,0.9903543591499329,0.0400719940662384,0.941944420337677,0.9941643476486206,0.000361250014975667,0.08600975573062897,0.01358688436448574,0.07212033122777939,0.09429393708705902,0.9396360516548157,0.9264428019523621,0.9628052711486816,0.6913838386535645,0.8541935682296753,0.9880841970443726,0.06572747230529785,0.1482597440481186,0.2064182162284851
31,0.9994699358940125,0.9908203482627869,0.03831658139824867,0.9453956484794617,0.9935159683227539,0.000361250014975667,0.0838308036327362,0.013340975157916546,0.07146218419075012,0.09357728809118271,0.9459343552589417,0.9283334612846375,0.8696687817573547,0.6896378397941589,0.8845161199569702,0.9171015024185181,0.06551402062177658,0.14454610645771027,0.2060914784669876
32,0.9996014833450317,0.9915425777435303,0.034915585070848465,0.9500775337219238,0.9933538436889648,0.000361250014975667,0.08059193938970566,0.013227657414972782,0.07125299423933029,0.09273693710565567,0.9394707083702087,0.933375358581543,0.9826886653900146,0.7338337302207947,0.8199999928474426,0.9761677980422974,0.05908683314919472,0.13751102983951569,0.1940895915031433
33,0.9995420575141907,0.9923813343048096,0.033560674637556076,0.9539943933486938,0.9949748516082764,0.000361250014975667,0.0787060484290123,0.012964518740773201,0.0706542581319809,0.09208089113235474,0.9390628337860107,0.9323849678039551,0.9631904363632202,0.7198678851127625,0.843870997428894,0.9778438806533813,0.0631176009774208,0.14373816549777985,0.20324181020259857
34,0.9995442032814026,0.9916124939918518,0.03490978851914406,0.9503799080848694,0.9935159683227539,0.000361250014975667,0.08092138916254044,0.0132911903783679,0.0711776539683342,0.09298679232597351,0.936616063117981,0.9390474557876587,1.0235306024551392,0.7527504563331604,0.8387096524238586,1.0178087949752808,0.06171661615371704,0.14299452304840088,0.1976606696844101
35,0.9992181062698364,0.9916124939918518,0.038260918110609055,0.9502402544021606,0.993678092956543,0.000361250014975667,0.08185030519962311,0.012869958765804768,0.07023625820875168,0.09180821478366852,0.9375282526016235,0.9243720173835754,1.061327576637268,0.6957001090049744,0.8141935467720032,1.0876919031143188,0.07221359014511108,0.15590859949588776,0.21586669981479645
36,0.999579668045044,0.9924978613853455,0.032636962831020355,0.9540301561355591,0.9957853555679321,0.000361250014975667,0.0773482546210289,0.012818924151360989,0.06989993155002594,0.09124705195426941,0.9319256544113159,0.9371567368507385,1.1306346654891968,0.7597560882568359,0.8038709759712219,1.085739016532898,0.05971405282616615,0.14082247018814087,0.19433702528476715
37,0.9994168281555176,0.9922415614128113,0.034719403833150864,0.9531055688858032,0.9949748516082764,0.000361250014975667,0.07779237627983093,0.012545312754809856,0.06950914114713669,0.09076477587223053,0.9225282669067383,0.9334653615951538,1.2025337219238281,0.750773012638092,0.7832258343696594,1.1450434923171997,0.059958212077617645,0.14052610099315643,0.19479487836360931
38,0.9994810223579407,0.9923580288887024,0.03658192232251167,0.9549773931503296,0.993678092956543,0.000361250014975667,0.0791018158197403,0.012547628954052925,0.06930951774120331,0.09032514691352844,0.9326491355895996,0.9270730018615723,1.0901458263397217,0.7032967209815979,0.8258064389228821,1.0776828527450562,0.06463953852653503,0.14997677505016327,0.20718206465244293
39,0.9996326565742493,0.9929637908935547,0.0319855697453022,0.9581446051597595,0.9944885969161987,0.000361250014975667,0.07433532178401947,0.012204413302242756,0.06822790950536728,0.08923568576574326,0.9333281517028809,0.9268929362297058,1.1298805475234985,0.7061452269554138,0.8154838681221008,1.1198962926864624,0.06744328141212463,0.1511378437280655,0.20873954892158508
40,0.9994845390319824,0.9925910234451294,0.03495870158076286,0.9570379853248596,0.9930296540260315,0.000361250014975667,0.07657968252897263,0.012213538400828838,0.06818906217813492,0.08915047347545624,0.9412136077880859,0.9313045740127563,0.9302705526351929,0.7065616846084595,0.8683871030807495,0.9455806016921997,0.06130862981081009,0.1447788029909134,0.20028282701969147
41,0.999664306640625,0.9931269288063049,0.02789529412984848,0.957761824131012,0.9961096048355103,0.00030706252437084913,0.06916279345750809,0.011692548170685768,0.06722486764192581,0.08764573186635971,0.9273231029510498,0.9348158836364746,1.1879496574401855,0.7438016533851624,0.8129032254219055,1.1563957929611206,0.06567937880754471,0.14429971575737,0.20190130174160004
42,0.9996241331100464,0.9936394691467285,0.027396610006690025,0.961924135684967,0.9951369762420654,0.00030706252437084913,0.06829258799552917,0.011582216247916222,0.06646377593278885,0.08681809902191162,0.932959794998169,0.9314846396446228,1.1868923902511597,0.7327433824539185,0.8012903332710266,1.158130168914795,0.06627705693244934,0.14685063064098358,0.2058788537979126
43,0.9996151328086853,0.9938258528709412,0.02689378522336483,0.962550938129425,0.9957853555679321,0.00030706252437084913,0.06725896149873734,0.01140693947672844,0.06587547063827515,0.08593104034662247,0.9283536076545715,0.9377869963645935,1.1532405614852905,0.7585791945457458,0.8129032254219055,1.119274616241455,0.0630476102232933,0.14593718945980072,0.19967277348041534
44,0.9995529651641846,0.9941520690917969,0.028542665764689445,0.964375376701355,0.9961096048355103,0.00030706252437084913,0.0693354681134224,0.011625762097537518,0.06673271209001541,0.08697710186243057,0.9370624423027039,0.9309444427490234,1.0467373132705688,0.7205633521080017,0.8251612782478333,1.0331164598464966,0.06191936135292053,0.13928689062595367,0.19995085895061493
45,0.9996026754379272,0.9938724637031555,0.027419811114668846,0.9628526568412781,0.9957853555679321,0.00030706252437084913,0.06766451150178909,0.011432941071689129,0.06629810482263565,0.08674131333827972,0.9259769320487976,0.9346358180046082,1.1933737993240356,0.7574999928474426,0.7819355130195618,1.1350070238113403,0.059275489300489426,0.13935649394989014,0.19230177998542786
46,0.9992691874504089,0.993569552898407,0.031101102009415627,0.9616168141365051,0.9949748516082764,0.00030706252437084913,0.07077216356992722,0.011522428132593632,0.06614421308040619,0.08637736737728119,0.920279860496521,0.9331952929496765,1.3121867179870605,0.7560203075408936,0.7696774005889893,1.2454986572265625,0.0646488219499588,0.1455356329679489,0.19956429302692413
47,0.999593198299408,0.9940588474273682,0.02794499322772026,0.9642072319984436,0.9956232905387878,0.00030706252437084913,0.06734218448400497,0.011275775730609894,0.06580286473035812,0.08607988059520721,0.9217215180397034,0.9314846396446228,1.2581307888031006,0.7358039617538452,0.7941935658454895,1.2014554738998413,0.064701147377491,0.14514566957950592,0.20168738067150116
48,0.9996464848518372,0.9942918419837952,0.025521641597151756,0.9652843475341797,0.9961096048355103,0.00030706252437084913,0.06526197493076324,0.011183635331690311,0.06542443484067917,0.08545748144388199,0.9292339086532593,0.9363464713096619,1.095845103263855,0.7421022653579712,0.833548367023468,1.0711838006973267,0.061947714537382126,0.1463894248008728,0.20328685641288757
49,0.9996863603591919,0.9951072931289673,0.0226322952657938,0.9697304368019104,0.9970821738243103,0.00026100315153598785,0.06231663003563881,0.01099841482937336,0.0649435818195343,0.08462703227996826,0.9266766309738159,0.935356080532074,1.2046395540237427,0.743559718132019,0.8193548321723938,1.1586029529571533,0.06318316608667374,0.14621764421463013,0.2006860375404358
50,0.9995825290679932,0.9945946931838989,0.024194415658712387,0.9672595858573914,0.9961096048355103,0.00026100315153598785,0.06316596269607544,0.01091676764190197,0.06452049314975739,0.08418501168489456,0.9274346828460693,0.9293238520622253,1.1861145496368408,0.7109763026237488,0.8316128849983215,1.136617660522461,0.0611884668469429,0.1444627195596695,0.19899523258209229
51,0.9996642470359802,0.9945248365402222,0.023470520973205566,0.9665094614028931,0.9964337944984436,0.00026100315153598785,0.06284787505865097,0.01100024115294218,0.06470330059528351,0.0847095251083374,0.9222077131271362,0.9400377869606018,1.2003514766693115,0.7779874205589294,0.7980645298957825,1.1406543254852295,0.05950452387332916,0.14491552114486694,0.1942446082830429
52,0.9996768832206726,0.9953635931015015,0.021579591557383537,0.9718621373176575,0.9965958595275879,0.00026100315153598785,0.06008667126297951,0.010638508945703506,0.06373032182455063,0.08312851935625076,0.9249386787414551,0.9422886371612549,1.1756526231765747,0.7878404259681702,0.8025806546211243,1.123056411743164,0.06077736243605614,0.14177820086479187,0.19451603293418884
53,0.9997609853744507,0.9949908256530762,0.022813286632299423,0.9701516032218933,0.9957853555679321,0.00026100315153598785,0.06049856171011925,0.010511187836527824,0.06353974342346191,0.08271066099405289,0.9358512759208679,0.9299541115760803,1.0746543407440186,0.7093275785446167,0.843870997428894,1.0566127300262451,0.06210904195904732,0.14648017287254333,0.20271332561969757
54,0.9997860193252563,0.9947811365127563,0.022311396896839142,0.968626856803894,0.9959474802017212,0.00026100315153598785,0.061230964958667755,0.010784334503114223,0.06444451212882996,0.08431342989206314,0.9295096397399902,0.9346358180046082,1.126613974571228,0.732243537902832,0.8380644917488098,1.0925579071044922,0.06140012666583061,0.14383871853351593,0.1991564929485321
55,0.999843418598175,0.9953635931015015,0.020210785791277885,0.9717130064964294,0.996757984161377,0.00026100315153598785,0.058813080191612244,0.010582590475678444,0.06376505643129349,0.08317922055721283,0.9207738041877747,0.9368866682052612,1.3332968950271606,0.7612307667732239,0.7980645298957825,1.2586095333099365,0.06394027918577194,0.14163890480995178,0.19572637975215912
56,0.9996628761291504,0.9947112202644348,0.02366068586707115,0.9689078330993652,0.9951369762420654,0.00026100315153598785,0.06132422760128975,0.010564723052084446,0.06379333138465881,0.08323052525520325,0.9112961888313293,0.9385972619056702,1.4385185241699219,0.7818182110786438,0.7767741680145264,1.347006916999817,0.06693911552429199,0.1403142213821411,0.19424578547477722
57,0.9997528195381165,0.9952237606048584,0.021020442247390747,0.9713879227638245,0.9961096048355103,0.00022185267880558968,0.05824168398976326,0.010295291431248188,0.06300219148397446,0.0821947529911995,0.9275012612342834,0.9363464713096619,1.1588464975357056,0.7404449582099915,0.837419331073761,1.1218639612197876,0.062479227781295776,0.14180785417556763,0.19440077245235443
